Biker_Age,Riding_Experience,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
15.0,0.0,No,Bought with own money,No,New,Village Road,Dry,Clear,Morning,4.0,50.0,85.0,1.0,0.0,Moderate Accident
26.0,1.0,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Afternoon,6.0,50.0,88.0,1.0,0.0,Moderate Accident
22.0,1.0,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Night,7.0,50.0,79.0,1.0,0.0,Moderate Accident
22.0,2.0,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,6.0,50.0,90.0,1.0,0.0,Moderate Accident
30.0,0.0,No,Inherited,No,Old,Village Road,Dry,Foggy,Noon,2.0,50.0,103.0,3.0,0.0,Moderate Accident
29.0,1.0,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,1.0,50.0,92.0,1.0,0.0,Moderate Accident
22.0,0.0,No,Inherited,Yes,Old,Village Road,Dry,Clear,Evening,3.0,50.0,100.0,1.0,0.0,Moderate Accident
16.0,0.0,Yes,Inherited,No,Old,Village Road,Dry,Foggy,Morning,4.0,50.0,79.0,2.0,0.0,Moderate Accident
28.0,0.0,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,1.0,50.0,80.0,2.0,0.0,Moderate Accident
15.0,1.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Night,2.0,50.0,86.0,1.0,0.0,Moderate Accident
18.0,0.0,Yes,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,5.0,50.0,72.0,2.0,0.0,Moderate Accident
24.0,2.0,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Noon,3.0,50.0,59.0,2.0,0.0,Moderate Accident
20.0,3.0,No,Inherited,No,Old,Village Road,Dry,Clear,Afternoon,1.0,50.0,86.0,3.0,0.0,Moderate Accident
15.0,0.0,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Morning,3.0,50.0,75.0,1.0,0.0,Moderate Accident
26.0,4.0,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,6.0,50.0,112.0,1.0,0.0,Moderate Accident
21.0,0.0,Yes,Inherited,No,New,Village Road,Dry,Clear,Night,1.0,50.0,85.0,1.0,0.0,Moderate Accident
17.0,4.0,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Afternoon,1.0,50.0,95.0,3.0,0.0,Moderate Accident
22.0,0.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Noon,5.0,50.0,98.0,1.0,0.0,Moderate Accident
23.0,3.0,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,3.0,50.0,113.0,2.0,0.0,Moderate Accident
27.0,2.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Evening,5.0,50.0,85.0,2.0,0.0,Moderate Accident
23.0,2.0,No,Inherited,No,New,Village Road,Wet,Rainy,Morning,5.0,50.0,76.0,2.0,0.0,Moderate Accident
28.0,2.0,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,8.0,50.0,92.0,3.0,0.0,Moderate Accident
16.0,5.0,No,Inherited,No,Old,Village Road,Dry,Foggy,Night,7.0,50.0,89.0,2.0,0.0,Moderate Accident
28.0,0.0,Yes,Inherited,Yes,New,Village Road,Wet,Rainy,Afternoon,7.0,50.0,95.0,3.0,0.0,Moderate Accident
29.0,4.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Noon,7.0,50.0,70.0,2.0,0.0,Moderate Accident
29.0,4.0,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,5.0,50.0,90.0,2.0,0.0,Moderate Accident
23.0,3.0,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Morning,4.0,50.0,57.0,3.0,0.0,Moderate Accident
19.0,3.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,3.0,50.0,99.0,3.0,0.0,Moderate Accident
19.0,3.0,No,Inherited,Yes,New,Village Road,Dry,Foggy,Night,6.0,50.0,100.0,3.0,0.0,Moderate Accident
30.0,2.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,8.0,50.0,98.0,2.0,0.0,Moderate Accident
27.0,1.0,No,Inherited,No,New,Village Road,Dry,Clear,Noon,5.0,50.0,83.0,1.0,0.0,Moderate Accident
26.0,1.0,Yes,Inherited,Yes,Old,Village Road,Dry,Foggy,Afternoon,5.0,50.0,92.0,3.0,0.0,Moderate Accident
23.0,5.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Evening,7.0,50.0,106.0,2.0,0.0,Moderate Accident
27.0,2.0,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Morning,6.0,50.0,91.0,1.0,0.0,Moderate Accident
22.0,4.0,Yes,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,6.0,50.0,109.0,1.0,0.0,Moderate Accident
18.0,2.0,No,Bought with own money,No,New,Village Road,Wet,Rainy,Night,3.0,50.0,111.0,2.0,1.0,Moderate Accident
28.0,1.0,No,Inherited,Yes,Old,Village Road,Dry,Clear,Afternoon,6.0,50.0,95.0,1.0,0.0,Moderate Accident
18.0,3.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Noon,6.0,50.0,74.0,3.0,0.0,Moderate Accident
24.0,1.0,No,Inherited,Yes,New,Village Road,Wet,Rainy,Afternoon,1.0,50.0,97.0,2.0,0.0,Moderate Accident
29.0,0.0,Yes,Inherited,No,Old,Village Road,Dry,Clear,Morning,3.0,50.0,75.0,2.0,0.0,Moderate Accident
16.0,0.0,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,3.0,50.0,70.0,3.0,0.0,Moderate Accident
19.0,3.0,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Night,2.0,50.0,59.0,2.0,0.0,Moderate Accident
28.0,3.0,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,8.0,50.0,72.0,2.0,0.0,Moderate Accident
23.0,4.0,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Noon,6.0,50.0,84.0,3.0,0.0,Moderate Accident
23.0,1.0,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,5.0,50.0,67.0,1.0,0.0,Moderate Accident
18.0,0.0,No,Bought with own money,No,New,Village Road,Dry,Clear,Evening,2.0,50.0,77.0,3.0,0.0,Moderate Accident
16.0,5.0,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Morning,7.0,50.0,71.0,3.0,1.0,Moderate Accident
27.0,2.0,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,6.0,50.0,65.0,2.0,0.0,Moderate Accident
17.0,3.0,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Night,7.0,50.0,107.0,1.0,0.0,Moderate Accident
26.0,4.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,5.0,50.0,68.0,2.0,0.0,Moderate Accident
25.0,0.0,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Noon,7.0,50.0,60.0,1.0,0.0,Moderate Accident
28.0,3.0,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,8.0,50.0,87.0,2.0,0.0,Moderate Accident
27.0,1.0,No,Inherited,No,Old,Village Road,Dry,Foggy,Morning,5.0,50.0,92.0,3.0,0.0,Moderate Accident
30.0,1.0,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,4.0,50.0,75.0,2.0,0.0,Moderate Accident
25.0,0.0,No,Inherited,No,Old,Village Road,Dry,Clear,Night,3.0,50.0,65.0,3.0,0.0,Moderate Accident
17.0,4.0,Yes,Inherited,No,New,Village Road,Dry,Foggy,Afternoon,1.0,50.0,74.0,1.0,0.0,Moderate Accident
24.0,0.0,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Noon,3.0,50.0,115.0,1.0,0.0,Moderate Accident
27.0,3.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,8.0,50.0,88.0,3.0,0.0,Moderate Accident
30.0,0.0,Yes,Bought with own money,Yes,New,Village Road,Dry,Foggy,Evening,2.0,50.0,80.0,3.0,0.0,Moderate Accident
15.0,3.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,2.0,50.0,82.0,2.0,0.0,Moderate Accident
30.0,4.0,No,Inherited,No,New,Village Road,Dry,Clear,Afternoon,3.0,50.0,96.0,1.0,0.0,Moderate Accident
26.0,3.0,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Night,4.0,50.0,98.0,3.0,0.0,Moderate Accident
29.0,5.0,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,5.0,50.0,112.0,1.0,0.0,Moderate Accident
17.0,4.0,Yes,Inherited,Yes,New,Village Road,Dry,Clear,Noon,7.0,50.0,84.0,1.0,0.0,Moderate Accident
30.0,0.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,7.0,50.0,111.0,3.0,0.0,Moderate Accident
29.0,2.0,No,Bought with own money,No,New,Village Road,Wet,Rainy,Morning,6.0,50.0,66.0,2.0,0.0,Moderate Accident
27.0,2.0,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,4.0,50.0,82.0,1.0,1.0,Moderate Accident
21.0,1.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,5.0,50.0,105.0,1.0,0.0,Moderate Accident
28.0,4.0,No,Inherited,Yes,New,Village Road,Wet,Rainy,Afternoon,3.0,50.0,58.0,3.0,0.0,Moderate Accident
16.0,1.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Noon,7.0,50.0,66.0,3.0,0.0,Moderate Accident
28.0,3.0,No,Inherited,No,New,Village Road,Dry,Foggy,Afternoon,6.0,50.0,72.0,3.0,0.0,Moderate Accident
15.0,0.0,Yes,Inherited,Yes,Old,Village Road,Wet,Rainy,Evening,3.0,50.0,91.0,3.0,0.0,Moderate Accident
18.0,5.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Morning,4.0,50.0,66.0,2.0,0.0,Moderate Accident
22.0,2.0,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,1.0,50.0,60.0,2.0,0.0,Moderate Accident
16.0,5.0,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Night,7.0,50.0,83.0,3.0,0.0,Moderate Accident
22.0,3.0,No,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,6.0,50.0,80.0,1.0,0.0,Moderate Accident
19.0,0.0,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Noon,6.0,50.0,85.0,3.0,0.0,Moderate Accident
20.0,2.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,4.0,50.0,95.0,2.0,0.0,Moderate Accident
17.0,4.0,No,Inherited,Yes,New,Village Road,Dry,Clear,Morning,7.0,50.0,90.0,3.0,0.0,Moderate Accident
17.0,4.0,Yes,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,5.0,50.0,65.0,2.0,0.0,Moderate Accident
21.0,1.0,No,Bought with own money,No,New,Village Road,Wet,Rainy,Night,1.0,50.0,72.0,1.0,0.0,Moderate Accident
23.0,0.0,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,3.0,50.0,110.0,3.0,0.0,Moderate Accident
18.0,3.0,Yes,Bought with own money,No,Old,Village Road,Dry,Foggy,Noon,8.0,50.0,73.0,1.0,0.0,Moderate Accident
17.0,5.0,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,6.0,50.0,104.0,1.0,0.0,Moderate Accident
16.0,2.0,No,Inherited,No,Old,Village Road,Dry,Clear,Evening,6.0,50.0,108.0,3.0,0.0,Moderate Accident
23.0,5.0,No,Bought with own money,No,New,Village Road,Dry,Foggy,Morning,3.0,50.0,70.0,3.0,0.0,Moderate Accident
25.0,3.0,No,Inherited,Yes,Old,Village Road,Wet,Rainy,Afternoon,5.0,50.0,58.0,3.0,0.0,Moderate Accident
15.0,2.0,Yes,Inherited,No,Old,Village Road,Dry,Clear,Night,7.0,50.0,102.0,2.0,0.0,Moderate Accident
30.0,0.0,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,1.0,50.0,55.0,3.0,0.0,Moderate Accident
15.0,1.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Noon,6.0,50.0,104.0,2.0,0.0,Moderate Accident
30.0,1.0,Yes,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,4.0,50.0,71.0,2.0,0.0,Moderate Accident
15.0,0.0,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Morning,7.0,50.0,98.0,2.0,0.0,Moderate Accident
24.0,1.0,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,3.0,50.0,58.0,3.0,0.0,Moderate Accident
21.0,0.0,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Night,1.0,50.0,110.0,1.0,0.0,Moderate Accident
22.0,0.0,No,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,6.0,50.0,81.0,3.0,0.0,Moderate Accident
30.0,4.0,Yes,Inherited,No,New,Village Road,Wet,Rainy,Noon,1.0,50.0,106.0,1.0,0.0,Moderate Accident
30.0,0.0,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,7.0,50.0,64.0,3.0,0.0,Moderate Accident
30.0,3.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Evening,3.0,50.0,105.0,2.0,0.0,Moderate Accident
18.0,0.0,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Morning,2.0,50.0,70.0,3.0,0.0,Moderate Accident
18.0,4.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,6.0,50.0,86.0,2.0,0.0,Moderate Accident
19.0,1.0,No,Inherited,No,New,Village Road,Dry,Foggy,Night,1.0,50.0,115.0,1.0,0.0,Moderate Accident
18.0,3.0,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,4.0,50.0,68.0,1.0,1.0,Moderate Accident
26.0,5.0,No,Inherited,No,Old,Village Road,Dry,Clear,Noon,6.0,50.0,114.0,1.0,0.0,Moderate Accident
18.0,0.0,Yes,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,1.0,50.0,91.0,1.0,0.0,Moderate Accident
17.0,5.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,5.0,50.0,57.0,3.0,0.0,Moderate Accident
20.0,0.0,No,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,7.0,50.0,91.0,3.0,0.0,Moderate Accident
19.0,2.0,Yes,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Night,5.0,50.0,56.0,1.0,0.0,Moderate Accident
17.0,4.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,5.0,50.0,85.0,3.0,0.0,Moderate Accident
26.0,5.0,No,Inherited,Yes,New,Village Road,Dry,Clear,Noon,2.0,50.0,94.0,2.0,0.0,Moderate Accident
20.0,1.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,2.0,50.0,82.0,3.0,0.0,Moderate Accident
25.0,3.0,No,Inherited,No,New,Village Road,Wet,Rainy,Evening,2.0,50.0,56.0,2.0,0.0,Moderate Accident
20.0,3.0,Yes,Inherited,Yes,Old,Village Road,Dry,Clear,Morning,6.0,50.0,109.0,2.0,0.0,Moderate Accident
28.0,1.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,3.0,50.0,103.0,2.0,0.0,Moderate Accident
25.0,1.0,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Night,7.0,50.0,112.0,2.0,0.0,Moderate Accident
30.0,3.0,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,2.0,50.0,113.0,2.0,0.0,Moderate Accident
30.0,5.0,No,Bought with own money,No,New,Village Road,Dry,Foggy,Noon,5.0,50.0,98.0,1.0,0.0,Moderate Accident
20.0,4.0,No,Inherited,Yes,Old,Village Road,Wet,Rainy,Afternoon,1.0,50.0,115.0,2.0,0.0,Moderate Accident
22.0,2.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Morning,2.0,50.0,79.0,2.0,0.0,Moderate Accident
25.0,1.0,No,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,7.0,50.0,64.0,3.0,0.0,Moderate Accident
27.0,4.0,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Night,7.0,50.0,111.0,3.0,0.0,Moderate Accident
25.0,3.0,No,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,8.0,50.0,109.0,3.0,0.0,Moderate Accident
22.0,4.0,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Noon,8.0,50.0,59.0,3.0,0.0,Moderate Accident
23.0,5.0,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,6.0,50.0,100.0,1.0,0.0,Moderate Accident
23.0,4.0,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Evening,5.0,50.0,115.0,2.0,0.0,Moderate Accident
18.0,4.0,No,Inherited,No,Old,Village Road,Dry,Foggy,Morning,7.0,50.0,80.0,2.0,0.0,Moderate Accident
22.0,3.0,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,1.0,50.0,88.0,2.0,0.0,Moderate Accident
15.0,5.0,No,Inherited,Yes,Old,Village Road,Dry,Clear,Night,4.0,50.0,109.0,1.0,1.0,Moderate Accident
27.0,2.0,Yes,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,5.0,50.0,63.0,2.0,0.0,Moderate Accident
21.0,1.0,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Noon,7.0,50.0,106.0,2.0,0.0,Moderate Accident
16.0,4.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,7.0,50.0,99.0,2.0,0.0,Moderate Accident
27.0,2.0,Yes,Bought with own money,No,New,Village Road,Dry,Foggy,Morning,1.0,50.0,74.0,3.0,0.0,Moderate Accident
19.0,4.0,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,5.0,50.0,63.0,3.0,0.0,Moderate Accident
23.0,5.0,No,Inherited,No,Old,Village Road,Dry,Clear,Night,6.0,50.0,85.0,1.0,0.0,Moderate Accident
18.0,5.0,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,4.0,50.0,97.0,3.0,0.0,Moderate Accident
21.0,4.0,No,Inherited,No,Old,Village Road,Wet,Rainy,Noon,6.0,50.0,86.0,1.0,0.0,Moderate Accident
15.0,5.0,Yes,Inherited,No,New,Village Road,Dry,Clear,Afternoon,5.0,50.0,77.0,1.0,0.0,Moderate Accident
16.0,2.0,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Evening,1.0,50.0,80.0,1.0,0.0,Moderate Accident
17.0,3.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,1.0,50.0,95.0,3.0,0.0,Moderate Accident
20.0,1.0,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,3.0,50.0,60.0,1.0,0.0,Moderate Accident
22.0,1.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,7.0,50.0,55.0,2.0,0.0,Moderate Accident
18.0,0.0,No,Inherited,No,New,Village Road,Wet,Rainy,Afternoon,4.0,50.0,92.0,2.0,0.0,Moderate Accident
15.0,4.0,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Noon,8.0,50.0,74.0,2.0,0.0,Moderate Accident
27.0,0.0,No,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,3.0,50.0,72.0,3.0,0.0,Moderate Accident
27.0,0.0,Yes,Inherited,Yes,New,Village Road,Wet,Rainy,Morning,7.0,50.0,82.0,3.0,0.0,Moderate Accident
15.0,5.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,8.0,50.0,78.0,1.0,0.0,Moderate Accident
22.0,3.0,No,Bought with own money,No,New,Village Road,Dry,Foggy,Night,4.0,50.0,99.0,1.0,0.0,Moderate Accident
30.0,4.0,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,8.0,60.0,91.0,2.0,0.0,Moderate Accident
22.0,4.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Noon,4.0,60.0,87.0,3.0,0.0,Moderate Accident
25.0,5.0,No,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,4.0,60.0,105.0,3.0,0.0,Moderate Accident
25.0,5.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Evening,8.0,60.0,103.0,2.0,0.0,Moderate Accident
20.0,2.0,No,Inherited,No,New,Village Road,Dry,Clear,Morning,2.0,60.0,95.0,3.0,1.0,Moderate Accident
25.0,2.0,Yes,Inherited,Yes,Old,Village Road,Dry,Foggy,Afternoon,5.0,60.0,81.0,3.0,0.0,Moderate Accident
19.0,4.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Night,7.0,60.0,92.0,2.0,0.0,Moderate Accident
28.0,5.0,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,5.0,60.0,106.0,3.0,0.0,Moderate Accident
26.0,4.0,Yes,Bought with own money,No,Old,Village Road,Dry,Foggy,Noon,7.0,60.0,84.0,2.0,0.0,Moderate Accident
19.0,5.0,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,4.0,60.0,71.0,1.0,0.0,Moderate Accident
25.0,0.0,No,Inherited,Yes,Old,Village Road,Dry,Clear,Morning,8.0,60.0,98.0,2.0,0.0,Moderate Accident
21.0,1.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,5.0,60.0,101.0,1.0,0.0,Moderate Accident
25.0,0.0,No,Inherited,Yes,New,Village Road,Wet,Rainy,Night,1.0,60.0,106.0,2.0,0.0,Moderate Accident
22.0,1.0,Yes,Inherited,No,Old,Village Road,Dry,Clear,Afternoon,5.0,60.0,81.0,3.0,0.0,Moderate Accident
16.0,1.0,No,Bought with own money,No,New,Village Road,Dry,Foggy,Noon,1.0,60.0,66.0,3.0,0.0,Moderate Accident
21.0,2.0,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,6.0,60.0,91.0,2.0,0.0,Moderate Accident
27.0,2.0,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Evening,7.0,60.0,101.0,3.0,0.0,Moderate Accident
20.0,2.0,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Morning,1.0,60.0,84.0,3.0,0.0,Moderate Accident
15.0,1.0,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,2.0,60.0,84.0,2.0,0.0,Moderate Accident
19.0,5.0,No,Bought with own money,No,New,Village Road,Dry,Clear,Night,3.0,60.0,77.0,1.0,0.0,Moderate Accident
19.0,2.0,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Afternoon,8.0,60.0,65.0,1.0,0.0,Moderate Accident
28.0,0.0,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Noon,5.0,60.0,86.0,3.0,0.0,Moderate Accident
30.0,2.0,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,5.0,60.0,109.0,2.0,0.0,Moderate Accident
19.0,4.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Morning,8.0,60.0,115.0,1.0,0.0,Moderate Accident
20.0,1.0,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,4.0,60.0,91.0,2.0,0.0,Moderate Accident
29.0,4.0,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Night,8.0,60.0,71.0,1.0,1.0,Moderate Accident
21.0,3.0,No,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,4.0,60.0,97.0,3.0,0.0,Moderate Accident
26.0,2.0,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Noon,7.0,60.0,67.0,2.0,0.0,Moderate Accident
22.0,1.0,No,Inherited,No,Old,Village Road,Dry,Clear,Afternoon,1.0,60.0,80.0,3.0,0.0,Moderate Accident
30.0,3.0,Yes,Inherited,No,New,Village Road,Dry,Foggy,Evening,1.0,60.0,74.0,1.0,0.0,Moderate Accident
16.0,5.0,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Morning,8.0,60.0,72.0,3.0,0.0,Moderate Accident
29.0,2.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,4.0,60.0,67.0,2.0,0.0,Moderate Accident
27.0,2.0,Yes,Bought with own money,Yes,New,Village Road,Dry,Foggy,Night,3.0,60.0,78.0,3.0,0.0,Moderate Accident
28.0,0.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,7.0,60.0,110.0,1.0,0.0,Moderate Accident
18.0,5.0,No,Inherited,No,New,Village Road,Dry,Clear,Noon,3.0,60.0,89.0,1.0,0.0,Moderate Accident
28.0,2.0,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Afternoon,4.0,60.0,92.0,1.0,0.0,Moderate Accident
28.0,4.0,No,Inherited,No,Old,Village Road,Wet,Rainy,Morning,5.0,60.0,112.0,3.0,0.0,Moderate Accident
17.0,2.0,Yes,Inherited,Yes,New,Village Road,Dry,Clear,Afternoon,7.0,60.0,120.0,3.0,0.0,Moderate Accident
29.0,0.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,1.0,60.0,101.0,3.0,0.0,Moderate Accident
16.0,2.0,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,7.0,60.0,103.0,2.0,0.0,Moderate Accident
22.0,3.0,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Noon,5.0,60.0,93.0,3.0,0.0,Moderate Accident
